severity,vote_account,validator_identity,still_blacklisted,is_active,current_stake_sol,commission_pct,slashed_sol,slashed_lamports,event_count,first_slashed_epoch,last_slashed_epoch,epochs_since_last_slash,last_vote_slot,reasons
soft,JnGGar3XbAN6J3cKGRbNajCuhqnc9XWrk6WWr6hDmuM,HcZvwZ83PfjrQDiq3GLHxisTs17aGURs6bJ2LwtmL4qv,True,True,350952.3502,5,86.3105,86310490915,6,960,978,0,423100040,BondRiskFee
hard,HHLMTHR9YoyDNsWKVJBT5AKrX86iQjkiKRFRrnaFubgq,FLwV8tm3pL8pZj6d927VASzPrgW51Gf4nRJuTewrfega,True,True,305599.356,0,49.032,49032041341,1,946,946,32,423100040,BlacklistPenalty
hard,EJHf5N9is5spAF5Kz384tTvTV3CwTka6qzUoZrYm53SV,4uH4G6YiD5G8rU3mtPg73C2Uqamrqedy3FboTZcZrh6x,True,True,108020.1643,5,32.3588,32358840400,1,946,946,32,423100040,BlacklistPenalty
soft,4FsAxdHQ6HmFrDD7yCwsKNApuA67QYSCMoLAy3NfySxJ,2kVZVTY8FMRZ3WuHzyqNz8qd4Ytbba9f9DaesUm5WLvR,True,True,35550.5498,5,29.0034,29003433287,12,960,978,0,423100040,BondRiskFee
soft,ENVaKoD7ytn58xJ8s5htFfQ8hqQt1G9dcPUDqbSwVcgB,7MTjmteQHhthwwTZhUzsc2dP4NBvGNRqj8jzdqNxHFGE,True,True,240944.5013,5,24.5793,24579252187,5,973,978,0,423100040,BondRiskFee
soft,GzjMbJQDVuBLFY69QwhhjDGDy2o5Q6nswXMuVTCWEFnp,CZanBzZHFzrGY5qKzaX3CNhJ5smHEMTWFFnoeUi4J6dr,True,True,41228.9423,5,16.0261,16026116887,9,960,978,0,423100040,BondRiskFee
soft,MicobSZgB9CZNvmnFSYbEtMjy7CUui5o6P3XoGTwZC5,MicoB9cA9R6jsicdhzWFjwd9HMkV8FA4o3WxYU6Z2yz,True,True,106344.169,0,5.6458,5645793172,5,960,978,0,423100040,BondRiskFee
soft,A11pGbZDE8fPNZgiqDjoST6v3QMdhzZ3r8W5YahCKtS5,Mwz8VgAEnPtfqS62r3ixrFiMJwnNfEwR141CGnsTo5k,True,True,55207.5219,0,3.3399,3339889486,6,960,978,0,423100040,BondRiskFee
soft,Fy6zNoZ1eCPpQX3JXeQ9Yd1HW1BFL8rrFmDvYYDnuxjT,CpdzCVzaR9gjFymmEVE8xHboJFHaDnimRZ448cMBs6Rn,True,True,60723.3603,0,1.4038,1403801303,1,978,978,0,423100040,BondRiskFee
soft,FwLsjPJdnSiuCvs1NXyR1cV6Sw5GRE6Lj2s1gZ9NNTmv,HMWXfjaeSHhww1wvdBhqhHVP9v96mFB4LJ9xP2MXbDGH,True,True,161576.0183,0,1.1441,1144122473,1,978,978,0,423100040,BondRiskFee
hard,6D9w8FRw5EFr5qtZEphPpughN3W8zc8p6zMXg4PFuaXL,AjGby82yXeYgj3kmng9y3c4nQpZFmiPpJKecLJTHbfbP,True,True,66081.8443,0,0.1024,102379380,1,946,946,32,423100040,BlacklistPenalty
